ADUANA|REGISTROS|FOB_DOLAR_TOTAL|corr_log_FOB_log_PESO|corr_log_FOB_log_VU|corr_log_PESO_log_VU
AEREA Y POSTAL EX - IAAC|81926|11510751760.933|0.329|0.482|-0.492
MARITIMA DEL CALLAO|153658|11353748160.961|0.836|0.06|-0.397
MOLLENDO - MATARANI|4004|8443701320.457|0.876|0.543|0.131
ILO|1229|4499318312.19|0.873|0.188|-0.079
PISCO|30355|2708562718.234|-0.004|0.719|-0.584
CHIMBOTE|3487|2357382993.32|0.459|0.525|-0.406
SALAVERRY|25015|1948140981.302|0.308|0.65|-0.389
PAITA|37888|1756844854.821|0.35|0.479|-0.495
CHICLAYO|9473|536285870.711|0.343|0.815|-0.123
TUMBES|11465|306657340.859|0.602|0.048|-0.672
TACNA|25970|89315843.815|0.844|-0.113|-0.594
DESAGUADERO|5142|57217691.519|0.811|-0.163|-0.66
CHANCAY|181|28067093.53|0.524|0.233|-0.499
IQUITOS|321|2164102.946|0.83|-0.018|-0.529
PUERTO MALDONADO|60|386101.36|-0.19|0.347|-0.913
LA TINA|83|361751.49|0.506|-0.08|-0.819
