NUM_SPN_R|REGISTROS|FOB_DOLAR_TOTAL|corr_log_FOB_log_PESO|corr_log_FOB_log_VU|corr_log_PESO_log_VU
2603000000-MINERALES DE COBRE Y SUS CONCENTRADOS|1297|15487877217.006|0.916|0.35|0.064
7108120000-ORO EN LAS DEMAS FORMAS EN BRUTO|14491|10925238241.869|0.76|0.159|-0.373
7403110000-CATODOS Y SECCIONES DE CATODOS DE COBRE REFINADO|948|2270523058.71|0.957|0.146|-0.048
810400000-ARANDANOS ROJOS, MIRTILOS Y DEMAS FRUTOS DEL GENERO VACCINIUM, FRESCOS|27373|2103763319.423|0.746|0.374|-0.194
2601110000-MINERALES DE HIERRO Y SUS CONCENTRADOS, SIN AGLOMERAR|468|1564170792.993|0.961|0.505|0.327
804400000-AGUACATES (PALTAS) , FRESCAS O SECAS|34213|1241846102.762|0.729|0.607|0.067
2608000090-MINERALES DE CINC Y SUS DEMAS CONCENTRADOS|733|1219582978.6|0.965|0.215|0.013
806100000-UVAS FRESCAS|25733|1109894671.939|0.569|0.605|-0.201
2613900000-MINERALES DE MOLIBDENO Y SUS CONCENTRADOS, SIN TOSTAR|372|1012931359.6|0.961|0.23|0.016
8001100000-ESTAÃ'O EN BRUTO, SIN ALEAR|705|772039329.343|0.915|0.072|-0.213
