precision|recall|f1|pr_auc|detectados|tasa_detectada|variante|modelo|feature_principal|transformacion|latencia_ms|registros_test|fold|subpartida|registros_train|outlier_rate_test
0.3333333333333333|1.0|0.5|0.3333333333333333|3|0.75|A_BASELINE|IQR sobre VU original|VU|sin transformacion|11.643599998933496|4|1|1001190000-TRIGO DURO, EXCEPTO PARA LA SIEMBRA|16|0.25
0.3333333333333333|1.0|0.5|0.3333333333333333|3|0.75|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|10.282200000801822|4|1|1001190000-TRIGO DURO, EXCEPTO PARA LA SIEMBRA|16|0.25
0.5|1.0|0.6666666666666666|0.5|2|0.5|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|16.7937999995047|4|1|1001190000-TRIGO DURO, EXCEPTO PARA LA SIEMBRA|16|0.25
0.0|0.0|0.0|0.0|0|0.0|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.110099999816157|4|2|1001190000-TRIGO DURO, EXCEPTO PARA LA SIEMBRA|16|0.0
0.0|0.0|0.0|0.0|0|0.0|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|9.302300000854302|4|2|1001190000-TRIGO DURO, EXCEPTO PARA LA SIEMBRA|16|0.0
0.0|0.0|0.0|0.0|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|15.977600000042003|4|2|1001190000-TRIGO DURO, EXCEPTO PARA LA SIEMBRA|16|0.0
1.0|1.0|1.0|1.0|1|0.25|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.047999999893364|4|3|1001190000-TRIGO DURO, EXCEPTO PARA LA SIEMBRA|16|0.25
1.0|1.0|1.0|1.0|1|0.25|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|8.949800001573749|4|3|1001190000-TRIGO DURO, EXCEPTO PARA LA SIEMBRA|16|0.25
0.0|0.0|0.0|0.25|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|15.732199999547447|4|3|1001190000-TRIGO DURO, EXCEPTO PARA LA SIEMBRA|16|0.25
0.0|0.0|0.0|0.0|0|0.0|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.1312000004109|4|4|1001190000-TRIGO DURO, EXCEPTO PARA LA SIEMBRA|16|0.0
0.0|0.0|0.0|0.0|0|0.0|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|9.708499999760534|4|4|1001190000-TRIGO DURO, EXCEPTO PARA LA SIEMBRA|16|0.0
0.0|0.0|0.0|0.0|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|16.160399998625508|4|4|1001190000-TRIGO DURO, EXCEPTO PARA LA SIEMBRA|16|0.0
0.0|0.0|0.0|0.0|0|0.0|A_BASELINE|IQR sobre VU original|VU|sin transformacion|8.457899999484653|4|5|1001190000-TRIGO DURO, EXCEPTO PARA LA SIEMBRA|16|0.0
0.0|0.0|0.0|0.0|0|0.0|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|9.212099999786005|4|5|1001190000-TRIGO DURO, EXCEPTO PARA LA SIEMBRA|16|0.0
0.0|0.0|0.0|0.0|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|15.486399999645073|4|5|1001190000-TRIGO DURO, EXCEPTO PARA LA SIEMBRA|16|0.0
0.5|1.0|0.6666666666666666|0.5|2|0.08|A_BASELINE|IQR sobre VU original|VU|sin transformacion|8.51880000118399|25|1|1001991000-LOS DEMAS TRIGOS|100|0.04
0.5|1.0|0.6666666666666666|0.5|2|0.08|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|10.240200001135236|25|1|1001991000-LOS DEMAS TRIGOS|100|0.04
0.0|0.0|0.0|0.04|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|16.24420000007376|25|1|1001991000-LOS DEMAS TRIGOS|100|0.04
1.0|1.0|1.0|1.0|1|0.04|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.679099999630125|25|2|1001991000-LOS DEMAS TRIGOS|100|0.04
1.0|1.0|1.0|1.0|1|0.04|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|10.613700000249082|25|2|1001991000-LOS DEMAS TRIGOS|100|0.04
0.0|0.0|0.0|0.04|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|18.283199999132194|25|2|1001991000-LOS DEMAS TRIGOS|100|0.04
0.0|0.0|0.0|0.0|1|0.04|A_BASELINE|IQR sobre VU original|VU|sin transformacion|11.006799999449868|25|3|1001991000-LOS DEMAS TRIGOS|100|0.0
0.0|0.0|0.0|0.0|0|0.0|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|10.507099999813363|25|3|1001991000-LOS DEMAS TRIGOS|100|0.0
0.0|0.0|0.0|0.0|1|0.04|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|17.54129999972065|25|3|1001991000-LOS DEMAS TRIGOS|100|0.0
0.3333333333333333|1.0|0.5|0.3333333333333333|3|0.12|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.829800001170952|25|4|1001991000-LOS DEMAS TRIGOS|100|0.04
0.5|1.0|0.6666666666666666|0.5|2|0.08|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|9.817000000111875|25|4|1001991000-LOS DEMAS TRIGOS|100|0.04
0.0|0.0|0.0|0.04|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|17.605700000785873|25|4|1001991000-LOS DEMAS TRIGOS|100|0.04
0.0|0.0|0.0|0.0|2|0.08|A_BASELINE|IQR sobre VU original|VU|sin transformacion|10.119700000359444|25|5|1001991000-LOS DEMAS TRIGOS|100|0.0
0.0|0.0|0.0|0.0|0|0.0|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|9.858100000201375|25|5|1001991000-LOS DEMAS TRIGOS|100|0.0
0.0|0.0|0.0|0.0|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|16.913699999349774|25|5|1001991000-LOS DEMAS TRIGOS|100|0.0
0.0|0.0|0.0|0.0|0|0.0|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.996400000090944|5|1|1003900000-CEBADA, EXCEPTO PARA LA SIEMBRA|18|0.0
