subpartida|variante|f1_promedio_subpartida|precision_promedio_subpartida|recall_promedio_subpartida|pr_auc_promedio_subpartida|folds|registros_test_total
1001190000-TRIGO DURO, EXCEPTO PARA LA SIEMBRA|A_BASELINE|0.3|0.2667|0.4|0.2667|5|20
1001190000-TRIGO DURO, EXCEPTO PARA LA SIEMBRA|B_LOG|0.3|0.2667|0.4|0.2667|5|20
1001190000-TRIGO DURO, EXCEPTO PARA LA SIEMBRA|C_WINS|0.1333|0.1|0.2|0.15|5|20
1001991000-LOS DEMAS TRIGOS|A_BASELINE|0.4333|0.3667|0.6|0.3667|5|125
1001991000-LOS DEMAS TRIGOS|B_LOG|0.4667|0.4|0.6|0.4|5|125
1001991000-LOS DEMAS TRIGOS|C_WINS|0.0|0.0|0.0|0.024|5|125
1003900000-CEBADA, EXCEPTO PARA LA SIEMBRA|A_BASELINE|0.0|0.0|0.0|0.0|5|23
1003900000-CEBADA, EXCEPTO PARA LA SIEMBRA|B_LOG|0.0|0.0|0.0|0.0|5|23
1003900000-CEBADA, EXCEPTO PARA LA SIEMBRA|C_WINS|0.0|0.0|0.0|0.0|5|23
1005100000-MAIZ PARA SIEMBRA|A_BASELINE|0.0|0.0|0.0|0.0|5|127
1005100000-MAIZ PARA SIEMBRA|B_LOG|0.0|0.0|0.0|0.0|5|127
1005100000-MAIZ PARA SIEMBRA|C_WINS|0.0|0.0|0.0|0.0|5|127
1005901900-LOS DEMAS MAICES|A_BASELINE|0.0|0.0|0.0|0.05|5|20
1005901900-LOS DEMAS MAICES|B_LOG|0.0|0.0|0.0|0.05|5|20
1005901900-LOS DEMAS MAICES|C_WINS|0.0|0.0|0.0|0.05|5|20
1005902000-MAIZ REVENTON (ZEA MAYS CONVAR. MICROSPERMA O ZEA MAYS VAR. EVERTA)|A_BASELINE|0.7005|0.66|0.8333|0.5856|5|162
1005902000-MAIZ REVENTON (ZEA MAYS CONVAR. MICROSPERMA O ZEA MAYS VAR. EVERTA)|B_LOG|0.8333|0.74|1.0|0.74|5|162
1005902000-MAIZ REVENTON (ZEA MAYS CONVAR. MICROSPERMA O ZEA MAYS VAR. EVERTA)|C_WINS|0.08|0.1|0.0667|0.1074|5|162
1005903000-MAIZ BLANCO (MAIZ GIGANTE DEL CUZCO)|A_BASELINE|0.8223|0.7189|1.0|0.7189|5|419
1005903000-MAIZ BLANCO (MAIZ GIGANTE DEL CUZCO)|B_LOG|0.8362|0.7333|1.0|0.7333|5|419
1005903000-MAIZ BLANCO (MAIZ GIGANTE DEL CUZCO)|C_WINS|0.0|0.0|0.0|0.0406|5|419
1005904000-MAIZ MORADO|A_BASELINE|0.8316|0.7257|0.9833|0.7145|5|521
1005904000-MAIZ MORADO|B_LOG|0.8338|0.7186|1.0|0.7186|5|521
1005904000-MAIZ MORADO|C_WINS|0.0502|0.1067|0.0333|0.1183|5|521
1005909000-LOS DEMAS MAICES|A_BASELINE|0.9096|0.8349|1.0|0.8349|5|1487
1005909000-LOS DEMAS MAICES|B_LOG|0.7944|0.6596|1.0|0.6596|5|1487
1005909000-LOS DEMAS MAICES|C_WINS|0.0143|0.0667|0.008|0.0861|5|1487
1006109000-DEMAS ARROZ CON CASCARA (ARROZ PADDY)|A_BASELINE|0.0|0.0|0.0|0.0|5|22
1006109000-DEMAS ARROZ CON CASCARA (ARROZ PADDY)|B_LOG|0.0|0.0|0.0|0.0|5|22
1006109000-DEMAS ARROZ CON CASCARA (ARROZ PADDY)|C_WINS|0.0|0.0|0.0|0.0|5|22
1006300000-ARROZ SEMIBLANQUEADO O BLANQUEADO, INCLUSO PULIDO O GLASEADO|A_BASELINE|0.7317|0.5813|1.0|0.5813|5|331
1006300000-ARROZ SEMIBLANQUEADO O BLANQUEADO, INCLUSO PULIDO O GLASEADO|B_LOG|0.6833|0.5218|1.0|0.5218|5|331
1006300000-ARROZ SEMIBLANQUEADO O BLANQUEADO, INCLUSO PULIDO O GLASEADO|C_WINS|0.0667|0.2|0.04|0.1185|5|331
1008509000-QUINUA, EXCEPTO PARA LA SIEMBRA|A_BASELINE|0.7323|0.578|1.0|0.578|5|4612
1008509000-QUINUA, EXCEPTO PARA LA SIEMBRA|B_LOG|0.7838|0.6448|1.0|0.6448|5|4612
1008509000-QUINUA, EXCEPTO PARA LA SIEMBRA|C_WINS|0.0|0.0|0.0|0.0408|5|4612
1008902900-KIWICHA, EXCEPTO PARA LA SIEMBRA|A_BASELINE|0.9333|1.0|0.9|0.9074|5|133
1008902900-KIWICHA, EXCEPTO PARA LA SIEMBRA|B_LOG|1.0|1.0|1.0|1.0|5|133
1008902900-KIWICHA, EXCEPTO PARA LA SIEMBRA|C_WINS|0.0|0.0|0.0|0.0524|5|133
1008909900-LOS DEMÃS CEREALES, EXCEPTO PARA LA SIEMBRA|A_BASELINE|0.0|0.0|0.0|0.0|5|27
1008909900-LOS DEMÃS CEREALES, EXCEPTO PARA LA SIEMBRA|B_LOG|0.0|0.0|0.0|0.0|5|27
1008909900-LOS DEMÃS CEREALES, EXCEPTO PARA LA SIEMBRA|C_WINS|0.0|0.0|0.0|0.0|5|27
101299000-LOS DEMAS CABALLOS VIVOS, EXCEPTO LOS DE CARRERA O REPRODUCTORES DE RAZA PURA|A_BASELINE|0.0|0.0|0.0|0.2962|5|64
101299000-LOS DEMAS CABALLOS VIVOS, EXCEPTO LOS DE CARRERA O REPRODUCTORES DE RAZA PURA|B_LOG|0.0|0.0|0.0|0.2962|5|64
101299000-LOS DEMAS CABALLOS VIVOS, EXCEPTO LOS DE CARRERA O REPRODUCTORES DE RAZA PURA|C_WINS|0.0|0.0|0.0|0.2962|5|64
105120000-PAVOS (GALLIPAVOS) VIVOS, DE PESO INFERIOR O IGUAL A 185 GR|A_BASELINE|0.1143|0.08|0.2|0.08|5|113
105120000-PAVOS (GALLIPAVOS) VIVOS, DE PESO INFERIOR O IGUAL A 185 GR|B_LOG|0.1143|0.08|0.2|0.08|5|113
105120000-PAVOS (GALLIPAVOS) VIVOS, DE PESO INFERIOR O IGUAL A 185 GR|C_WINS|0.0|0.0|0.0|0.0174|5|113
106190000-LOS DEMAS MAMIFEROS VIVOS|A_BASELINE|0.8|0.8|0.8|0.8|5|27
106190000-LOS DEMAS MAMIFEROS VIVOS|B_LOG|0.2|0.2|0.2|0.3067|5|27
106190000-LOS DEMAS MAMIFEROS VIVOS|C_WINS|0.0|0.0|0.0|0.1467|5|27
106200000-REPTILES (INCLUIDAS LAS SERPIENTES Y TORTUGAS DE MAR), VIVOS|A_BASELINE|0.0|0.0|0.0|0.0|5|215
106200000-REPTILES (INCLUIDAS LAS SERPIENTES Y TORTUGAS DE MAR), VIVOS|B_LOG|0.0|0.0|0.0|0.0|5|215
106200000-REPTILES (INCLUIDAS LAS SERPIENTES Y TORTUGAS DE MAR), VIVOS|C_WINS|0.0|0.0|0.0|0.0|5|215
106490000-LOS DEMAS INSECTOS VIVOS, EXCEPTO LAS ABEJAS|A_BASELINE|0.0|0.0|0.0|0.0|5|26
106490000-LOS DEMAS INSECTOS VIVOS, EXCEPTO LAS ABEJAS|B_LOG|0.0|0.0|0.0|0.0|5|26
106490000-LOS DEMAS INSECTOS VIVOS, EXCEPTO LAS ABEJAS|C_WINS|0.0|0.0|0.0|0.0|5|26
106900000-LOS DEMAS ANIMALES VIVOS, EXCEPTO MAMIFEROS, REPTILES, AVES O INSECTOS|A_BASELINE|0.2|0.2|0.2|0.2927|5|54
106900000-LOS DEMAS ANIMALES VIVOS, EXCEPTO MAMIFEROS, REPTILES, AVES O INSECTOS|B_LOG|1.0|1.0|1.0|1.0|5|54
106900000-LOS DEMAS ANIMALES VIVOS, EXCEPTO MAMIFEROS, REPTILES, AVES O INSECTOS|C_WINS|0.0|0.0|0.0|0.1109|5|54
