fecha_ejecucion|busqueda|trial_id|mejor_f1_acumulado|metodo|feature|k_iqr|z_umbral|usar_winsor|p_inf|p_sup|f1_cv|f1_cv_std|precision_cv|recall_cv|pr_auc_cv|folds_evaluados|estado_trial|motivo_corte|latencia_ms|score_ranking
2026-06-05 19:28:49|RANDOM|3|0.6|IQR|LOG_VU|2.108535|2.681716|False|0.046704|0.978974|0.6|0.547723|0.6|0.6|1.0|5|pruned|f1_parcial 0.6000 menor que limite 0.6454|57.9294|0.58
2026-06-05 19:28:50|BAYES|1|0.6|IQR|LOG_VU|3.401745|4.310898|False|0.006003|0.954837|0.6|0.547723|0.6|0.6|1.0|5|pruned|f1_parcial 0.6000 menor que limite 0.6454|62.1774|0.58
2026-06-05 19:28:50|BAYES|5|0.6|ROBUST_Z|LOG_VU|3.065704|4.107545|False|0.007264|0.988159|0.6|0.547723|0.6|0.6|1.0|5|pruned|f1_parcial 0.6000 menor que limite 0.6454|53.1536|0.58
2026-06-05 19:28:49|RANDOM|2|0.533333|ROBUST_Z|LOG_VU|2.125965|3.112394|False|0.039251|0.985373|0.533333|0.505525|0.5|0.6|0.833333|5|pruned|f1_parcial 0.5333 menor que limite 0.6454|53.7617|0.513333
2026-06-05 19:28:49|RANDOM|5|0.6|ROBUST_Z|LOG_VU|1.486597|3.400163|False|0.048681|0.99019|0.533333|0.505525|0.5|0.6|0.833333|5|pruned|f1_parcial 0.5333 menor que limite 0.6454|53.6018|0.513333
2026-06-05 19:28:49|RANDOM|9|0.6|ROBUST_Z|VU|1.72082|4.047487|True|0.042452|0.986214|0.533333|0.505525|0.5|0.6|0.833333|5|pruned|f1_parcial 0.5333 menor que limite 0.6454|75.1911|0.513333
2026-06-05 19:28:50|BAYES|2|0.6|ROBUST_Z|VU|2.142177|3.660671|False|0.015257|0.961421|0.433333|0.434613|0.366667|0.6|0.611111|5|pruned|f1_parcial 0.4333 menor que limite 0.6454|59.3873|0.413333
2026-06-05 19:28:50|BAYES|9|0.6|ROBUST_Z|VU|3.002245|3.545389|False|0.0065|0.955866|0.433333|0.434613|0.366667|0.6|0.611111|5|pruned|f1_parcial 0.4333 menor que limite 0.6454|50.8507|0.413333
2026-06-05 19:28:49|RANDOM|7|0.6|ROBUST_Z|VU|1.324804|3.427115|False|0.021671|0.97113|0.413333|0.433077|0.35|0.6|0.583333|5|pruned|f1_parcial 0.4133 menor que limite 0.6454|51.9471|0.393333
2026-06-05 19:28:50|RANDOM|11|0.6|ROBUST_Z|LOG_VU|1.349492|2.34359|False|0.040133|0.970651|0.344444|0.42017|0.291667|0.6|0.486111|5|pruned|f1_parcial 0.3444 menor que limite 0.6454|52.3095|0.324444
