escenario|metodo|n_registros|p50_segundos|p95_segundos|p99_segundos|promedio_segundos|minimo_segundos|maximo_segundos|throughput_registros_segundo|errores|observaciones
escenario_1_top_1|baseline_iqr|1294|0.0038366999997379025|0.004238819999500265|0.004274563999479142|0.003883033332992151|0.0035288999997646897|0.004283499999473861|333244.62836966733|0|OK
escenario_1_top_1|actual_iqr_z_lof_2mas|1294|0.01126269999986107|0.011310309999771562|0.011314541999763606|0.010711333333044118|0.00955569999950967|0.011315599999761616|120806.62227250941|0|OK
escenario_2_top_3|baseline_iqr|3225|0.00670689999969909|0.007184710000365158|0.007227182000424364|0.006846900000103536|0.006596000000172353|0.007237800000439165|471016.08026278066|0|OK
escenario_2_top_3|actual_iqr_z_lof_2mas|3225|0.022324700000353914|0.022579489999679937|0.022602137999620027|0.02231479999985216|0.022011899999597517|0.02260779999960505|144522.9175265459|0|OK
escenario_3_top_5|baseline_iqr|4601|0.009714200000416895|0.009753530000307365|0.009757026000297628|0.009728100000150638|0.009712199999739823|0.009757900000295194|472959.7763107651|0|OK
escenario_3_top_5|actual_iqr_z_lof_2mas|4601|0.03382710000005318|0.03385689000015191|0.033859538000160685|0.03381059999992431|0.033744499999556865|0.03386020000016288|136081.5838822825|0|OK
escenario_4_invalidos_controlados|baseline_iqr|500|0.003411700000469864|0.0034456299993507857|0.003448645999251312|0.0033910333331732545|0.003311999999823456|0.0034493999992264435|147447.6806549439|0|OK
escenario_4_invalidos_controlados|actual_iqr_z_lof_2mas|500|0.009191599999212485|0.009883970000646513|0.009945514000773982|0.00919413333334281|0.008429900000010093|0.00996090000080585|54382.50478560437|0|OK
escenario_5_pipeline_actual_completo|baseline_iqr|4601|0.011754099999961909|0.012247210000077757|0.012291042000088055|0.01139583333315386|0.010131399999409041|0.01230200000009063|403744.0585072727|0|OK
escenario_5_pipeline_actual_completo|actual_iqr_z_lof_2mas|4601|0.04901100000006409|0.049884450000263314|0.049962090000281026|0.04614413333335202|0.03943989999970654|0.04998150000028545|99709.31660503184|0|OK
